opening /groups/hess/hesslab/ibeammsem/system_02/wafers/wafer_60/xlog/xlog_wafer_60.zarr ...
loading slab info with wafer_short_prefix w60_ and 10 number_of_slabs_per_group ...
found 771 region slabs with 54 max mfovs and 19 average mfovs

render project: w60_serial_000_to_009 (10 slab regions):
  SlabInfo(wafer_short_prefix='w60_', serial_id=31, magc_id=18, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s031_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=31, magc_id=18, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s031_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=32, magc_id=37, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s032_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=32, magc_id=37, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s032_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=33, magc_id=198, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s033_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=33, magc_id=198, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s033_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=34, magc_id=197, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s034_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=34, magc_id=197, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s034_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=35, magc_id=191, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s035_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=35, magc_id=191, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s035_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=36, magc_id=248, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s036_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=36, magc_id=248, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s036_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=37, magc_id=252, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s037_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=37, magc_id=252, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s037_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=38, magc_id=253, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s038_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=38, magc_id=253, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s038_r01')
