opening /groups/hess/hesslab/ibeammsem/system_02/wafers/wafer_61/xlog/xlog_wafer_61.zarr ...
loading slab info with wafer_short_prefix w61_ and 10 number_of_slabs_per_group ...
found 14 magc ids without regions: [40, 41, 42, 86, 87, 103, 109, 152, 153, 197, 227, 235, 236, 308], this occurs when the block is sectioned before/after the ROI starts/ends,
found 554 region slabs with 53 max mfovs and 20 average mfovs

  SlabInfo(wafer_short_prefix='w61_', serial_id=32, magc_id=287, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s032_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=32, magc_id=287, region=1, first_mfov=32, last_mfov=45, stack_name='w61_s032_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=33, magc_id=49, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s033_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=33, magc_id=49, region=1, first_mfov=31, last_mfov=44, stack_name='w61_s033_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=34, magc_id=2, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s034_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=34, magc_id=2, region=1, first_mfov=32, last_mfov=45, stack_name='w61_s034_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=35, magc_id=179, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s035_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=35, magc_id=179, region=1, first_mfov=30, last_mfov=43, stack_name='w61_s035_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=36, magc_id=29, region=0, first_mfov=0, last_mfov=33, stack_name='w61_s036_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=36, magc_id=29, region=1, first_mfov=34, last_mfov=47, stack_name='w61_s036_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=37, magc_id=9, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s037_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=37, magc_id=9, region=1, first_mfov=32, last_mfov=45, stack_name='w61_s037_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=38, magc_id=220, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s038_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=38, magc_id=220, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s038_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=39, magc_id=116, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s039_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=39, magc_id=116, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s039_r01')
render project: w61_serial_040_to_049 (20 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=40, magc_id=117, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s040_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=40, magc_id=117, region=1, first_mfov=31, last_mfov=44, stack_name='w61_s040_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=41, magc_id=160, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s041_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=41, magc_id=160, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s041_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=42, magc_id=159, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s042_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=42, magc_id=159, region=1, first_mfov=32, last_mfov=45, stack_name='w61_s042_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=43, magc_id=233, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s043_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=43, magc_id=233, region=1, first_mfov=30, last_mfov=42, stack_name='w61_s043_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=44, magc_id=234, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s044_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=44, magc_id=234, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s044_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=45, magc_id=104, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s045_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=45, magc_id=104, region=1, first_mfov=30, last_mfov=43, stack_name='w61_s045_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=46, magc_id=102, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s046_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=46, magc_id=102, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s046_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=47, magc_id=134, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s047_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=47, magc_id=134, region=1, first_mfov=30, last_mfov=42, stack_name='w61_s047_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=48, magc_id=133, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s048_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=48, magc_id=133, region=1, first_mfov=32, last_mfov=44, stack_name='w61_s048_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=49, magc_id=132, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s049_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=49, magc_id=132, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s049_r01')
render project: w61_serial_050_to_059 (20 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=50, magc_id=405, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s050_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=50, magc_id=405, region=1, first_mfov=31, last_mfov=42, stack_name='w61_s050_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=51, magc_id=406, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s051_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=51, magc_id=406, region=1, first_mfov=32, last_mfov=44, stack_name='w61_s051_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=52, magc_id=128, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s052_r00')
